ticker,listing_date
AADI.JK,2024-12-05
ACES.JK,2018-01-31
ADMR.JK,2022-01-03
ADRO.JK,2018-01-31
AKRA.JK,2018-01-31
AMMN.JK,2023-07-31
AMRT.JK,2018-01-31
ANTM.JK,2018-01-31
ARTO.JK,2018-01-31
ASII.JK,2018-01-31
BBCA.JK,2018-01-31
BBNI.JK,2018-01-31
BBRI.JK,2018-01-31
BBTN.JK,2018-01-31
BMRI.JK,2018-01-31
BRPT.JK,2018-01-31
BSDE.JK,2018-01-31
BTPS.JK,2018-05-08
BUKA.JK,2021-08-06
BUMI.JK,2018-01-31
CPIN.JK,2018-01-31
EMTK.JK,2018-01-31
ERAA.JK,2018-01-31
ESSA.JK,2018-01-31
EXCL.JK,2018-01-31
GGRM.JK,2018-01-31
GOTO.JK,2022-04-30
HEAL.JK,2018-05-31
HMSP.JK,2018-01-31
HRUM.JK,2018-01-31
ICBP.JK,2018-01-31
INCO.JK,2018-01-31
INDF.JK,2018-01-31
INTP.JK,2018-01-31
ISAT.JK,2018-01-31
ITMG.JK,2018-01-31
JPFA.JK,2018-01-31
JSMR.JK,2018-01-31
KLBF.JK,2018-01-31
LPKR.JK,2018-01-31
LPPF.JK,2018-01-31
MAPI.JK,2018-01-31
MBMA.JK,2023-04-18
MDKA.JK,2018-01-31
MEDC.JK,2018-01-31
MIKA.JK,2018-01-31
MNCN.JK,2018-01-31
PGAS.JK,2018-01-31
PGEO.JK,2023-02-24
PTBA.JK,2018-01-31
PTPP.JK,2018-01-31
PWON.JK,2018-01-31
SIDO.JK,2018-01-31
SMGR.JK,2018-01-31
SRIL.JK,2018-01-31
TBIG.JK,2018-01-31
TINS.JK,2018-01-31
TKIM.JK,2018-01-31
TLKM.JK,2018-01-31
TOWR.JK,2018-01-31
TPIA.JK,2018-01-31
UNTR.JK,2018-01-31
WSBP.JK,2018-01-31
WSKT.JK,2018-01-31
