date,rs6m_return,momentum_return,benchmark_return,rs6m_excess,momentum_excess
2019-02,-0.021605,-0.025991,-0.013718,-0.007886,-0.012273
2019-03,0.007478,0.007988,0.003943,0.003535,0.004045
2019-04,0.017751,0.003611,-0.002072,0.019823,0.005683
2019-05,-0.140812,-0.045573,-0.038144,-0.102667,-0.007429
2019-06,0.053158,0.030768,0.024079,0.029079,0.006689
2019-07,0.110303,0.062583,0.005013,0.10529,0.05757
2019-08,0.075031,-0.055711,-0.009707,0.084739,-0.046004
2019-09,0.06137,-0.0402,-0.025183,0.086552,-0.015017
2019-10,0.328974,-0.001358,0.009599,0.319375,-0.010957
2019-11,-0.097709,-0.028383,-0.034758,-0.06295,0.006375
2019-12,0.194957,0.107257,0.047857,0.1471,0.0594
2020-01,-0.042673,-0.080535,-0.057066,0.014393,-0.023469
2020-02,-0.127394,-0.0659,-0.082044,-0.04535,0.016144
2020-03,-0.093145,-0.211629,-0.167582,0.074437,-0.044047
2020-04,0.085956,0.012779,0.0391,0.046856,-0.026321
2020-05,0.009194,-0.096371,0.007889,0.001305,-0.10426
2020-06,0.183659,0.04881,0.031929,0.151729,0.016881
2020-07,0.246984,0.064466,0.049789,0.197195,0.014677
2020-08,-0.017568,0.003928,0.017256,-0.034824,-0.013328
2020-09,-0.056144,-0.078913,-0.070335,0.014191,-0.008578
2020-10,0.126674,0.015203,0.053015,0.073658,-0.037812
2020-11,0.155989,0.100418,0.094417,0.061572,0.006001
2020-12,0.337254,0.252123,0.06533,0.271924,0.186793
2021-01,0.366298,0.044101,-0.019522,0.385819,0.063623
2021-02,0.241256,0.074108,0.064726,0.176531,0.009382
2021-03,-0.093861,-0.135193,-0.041058,-0.052803,-0.094135
2021-04,0.049666,0.083831,0.001686,0.04798,0.082145
2021-05,0.023548,-0.005106,-0.008031,0.03158,0.002925
2021-06,0.046199,-0.040497,0.006394,0.039805,-0.046891
2021-07,0.152944,0.017718,0.014126,0.138819,0.003592
2021-08,0.01179,-0.053062,0.013222,-0.001433,-0.066284
2021-09,-0.025473,-0.025687,0.022217,-0.04769,-0.047904
2021-10,-0.014265,0.04735,0.048418,-0.062683,-0.001068
2021-11,0.119987,0.035401,-0.008711,0.128697,0.044112
2021-12,0.121974,0.012606,0.007277,0.114697,0.005329
2022-01,0.016865,-0.02884,0.007547,0.009318,-0.036387
2022-02,0.115722,0.029266,0.038759,0.076962,-0.009493
2022-03,0.242009,0.044309,0.026607,0.215403,0.017702
2022-04,0.111158,0.139478,0.022269,0.088889,0.117209
2022-05,0.032693,0.071922,-0.011059,0.043752,0.082981
2022-06,-0.171355,-0.172037,-0.033206,-0.138149,-0.138831
2022-07,0.105747,0.091189,0.005721,0.100026,0.085468
2022-08,0.039961,0.061363,0.032724,0.007237,0.028639
2022-09,-0.003349,0.015226,-0.019195,0.015846,0.034421
2022-10,0.182866,0.013254,0.008251,0.174616,0.005003
2022-11,-0.019821,-0.030536,-0.002476,-0.017345,-0.02806
2022-12,-0.074689,-0.056364,-0.032578,-0.042111,-0.023786
2023-01,0.017535,-0.054096,-0.001646,0.019181,-0.05245
2023-02,-0.015239,0.019454,0.00057,-0.015808,0.018884
2023-03,-0.045322,0.028636,-0.005547,-0.039775,0.034183
2023-04,-0.077182,0.022447,0.016228,-0.09341,0.006219
2023-05,-0.013781,-0.14922,-0.040842,0.027062,-0.108378
2023-06,0.013863,-0.00167,0.004314,0.009549,-0.005984
2023-07,0.054486,0.008759,0.040451,0.014035,-0.031692
2023-08,-0.007693,0.012232,0.00316,-0.010852,0.009072
2023-09,0.007236,0.136351,-0.001923,0.009158,0.138274
2023-10,-0.066991,-0.09503,-0.027044,-0.039947,-0.067986
2023-11,-0.087984,-0.01866,0.048655,-0.136639,-0.067315
2023-12,0.206473,0.082236,0.027124,0.179349,0.055112
2024-01,0.017212,0.006534,-0.008918,0.026129,0.015452
2024-02,-0.025592,0.027973,0.015007,-0.040599,0.012966
2024-03,0.073276,0.049557,-0.003731,0.077007,0.053288
2024-04,0.007218,-0.084805,-0.007493,0.014711,-0.077312
2024-05,0.111906,-0.048898,-0.036419,0.148325,-0.012479
2024-06,0.012115,-0.019673,0.013319,-0.001204,-0.032992
2024-07,0.037285,0.074753,0.027208,0.010077,0.047545
2024-08,0.00492,0.001904,0.057192,-0.052272,-0.055288
2024-09,0.00021,0.007338,-0.018617,0.018826,0.025955
2024-10,0.093923,-0.042382,0.006123,0.087801,-0.048505
2024-11,-0.072776,-0.071391,-0.060701,-0.012075,-0.01069
2024-12,-0.027705,0.060765,-0.00483,-0.022875,0.065595
2025-01,-0.036629,-0.021632,0.004137,-0.040766,-0.025769
2025-02,-0.096428,-0.0804,-0.11796,0.021531,0.03756
2025-03,0.05823,-0.014893,0.038278,0.019952,-0.053171
2025-04,0.006235,0.118297,0.039347,-0.033112,0.07895
2025-05,0.044184,0.081702,0.060446,-0.016262,0.021256
2025-06,0.083766,-0.025842,-0.03458,0.118346,0.008738
2025-07,0.158048,0.15774,0.080353,0.077695,0.077387
2025-08,-0.023022,-0.048631,0.046251,-0.069273,-0.094882
2025-09,0.092081,0.151476,0.029445,0.062636,0.122031
2025-10,-0.019695,-0.000992,0.012754,-0.032449,-0.013746
2025-11,-0.00678,-0.0234,0.042239,-0.049019,-0.065639
2025-12,0.038541,0.07684,0.016246,0.022295,0.060594
2026-01,-0.138823,0.014239,-0.036699,-0.102124,0.050938
2026-02,0.161585,0.113802,-0.0113,0.172885,0.125102
2026-03,-0.199844,-0.228225,-0.144164,-0.05568,-0.084061
2026-04,0.022404,0.129318,-0.01297,0.035375,0.142288
2026-05,-0.240508,-0.203625,-0.119225,-0.121283,-0.0844
