month,holdings,changes
2022-01-31,"['ESSA.JK', 'ADRO.JK', 'BMRI.JK', 'BBNI.JK', 'BBRI.JK']",0
2022-02-28,"['ESSA.JK', 'ADRO.JK', 'BBRI.JK', 'BMRI.JK', 'BBNI.JK']",0
2022-03-31,"['ESSA.JK', 'ADRO.JK', 'BBRI.JK', 'BMRI.JK', 'BBNI.JK']",0
2022-04-30,"['ESSA.JK', 'ADRO.JK', 'BMRI.JK', 'BBRI.JK', 'BBNI.JK']",0
2022-05-31,"['ADRO.JK', 'BMRI.JK', 'BBRI.JK', 'BBNI.JK', 'SMGR.JK']",2
2022-06-30,"['ADRO.JK', 'BMRI.JK', 'BBNI.JK', 'BBRI.JK', 'SMGR.JK']",0
2022-07-31,"['ADRO.JK', 'BMRI.JK', 'BBRI.JK', 'BBNI.JK', 'SMGR.JK']",0
2022-08-31,"['ADRO.JK', 'BMRI.JK', 'BBNI.JK', 'BRPT.JK', 'SMGR.JK']",2
2022-09-30,"['ADRO.JK', 'ESSA.JK', 'BMRI.JK', 'BBNI.JK', 'ANTM.JK']",4
2022-10-31,"['ADRO.JK', 'ESSA.JK', 'BMRI.JK', 'BBNI.JK', 'MDKA.JK']",2
2022-11-30,"['ADRO.JK', 'BMRI.JK', 'BBNI.JK', 'ANTM.JK', 'MDKA.JK']",2
2022-12-31,"['ADRO.JK', 'BMRI.JK', 'BBNI.JK', 'ANTM.JK', 'MDKA.JK']",0
2023-01-31,"['ADRO.JK', 'BMRI.JK', 'ANTM.JK', 'BBNI.JK', 'MDKA.JK']",0
2023-02-28,"['ESSA.JK', 'BMRI.JK', 'BBNI.JK', 'MDKA.JK', 'GOTO.JK']",4
2023-03-31,"['BMRI.JK', 'ESSA.JK', 'BBNI.JK', 'GOTO.JK', 'MDKA.JK']",0
2023-04-30,"['BMRI.JK', 'BBNI.JK', 'MDKA.JK', 'GOTO.JK']",1
2023-05-31,"['BMRI.JK', 'BBNI.JK', 'ADRO.JK', 'GOTO.JK']",2
2023-06-30,"['BMRI.JK', 'BBNI.JK', 'ADRO.JK', 'GOTO.JK']",0
2023-07-31,"['BMRI.JK', 'ESSA.JK', 'GOTO.JK', 'MDKA.JK']",4
2023-08-31,"['BMRI.JK', 'ADRO.JK', 'ESSA.JK', 'MDKA.JK']",2
2023-09-30,"['BMRI.JK', 'ADRO.JK', 'ESSA.JK', 'MDKA.JK']",0
2023-10-31,"['BRPT.JK', 'ADRO.JK', 'ESSA.JK', 'MDKA.JK']",2
2023-11-30,"['ADRO.JK', 'ESSA.JK', 'GOTO.JK', 'MDKA.JK']",2
2023-12-31,"['ADRO.JK', 'ESSA.JK', 'GOTO.JK', 'MDKA.JK']",0
2024-01-31,"['ADRO.JK', 'GOTO.JK', 'MDKA.JK']",1
2024-02-29,"['ADRO.JK', 'BRPT.JK', 'MDKA.JK']",2
2024-03-31,"['ADRO.JK', 'MDKA.JK', 'ESSA.JK']",2
2024-04-30,"['ADRO.JK', 'ESSA.JK', 'MDKA.JK']",0
2024-05-31,"['ADRO.JK', 'BRPT.JK', 'ESSA.JK']",2
2024-06-30,"['ADRO.JK', 'ESSA.JK', 'MDKA.JK']",2
2024-07-31,"['ADRO.JK', 'BRPT.JK', 'ESSA.JK']",2
2024-08-31,"['ADRO.JK', 'ESSA.JK', 'SMGR.JK']",2
2024-09-30,"['ADRO.JK', 'ESSA.JK', 'GOTO.JK']",2
2024-10-31,"['ADRO.JK', 'ESSA.JK', 'SMGR.JK']",2
2024-11-30,"['GOTO.JK', 'AKRA.JK', 'MDKA.JK']",6
2024-12-31,"['BRPT.JK', 'SMGR.JK', 'MDKA.JK']",4
2025-01-31,"['BRPT.JK', 'MDKA.JK', 'AKRA.JK']",2
2025-02-28,"['BRPT.JK', 'AKRA.JK', 'MDKA.JK']",0
2025-03-31,"['BBRI.JK', 'BBNI.JK', 'AKRA.JK']",4
2025-04-30,"['AKRA.JK', 'MDKA.JK', 'SMGR.JK']",4
2025-05-31,"['MDKA.JK', 'AKRA.JK', 'SMGR.JK']",0
2025-06-30,"['MDKA.JK', 'AKRA.JK', 'ESSA.JK']",2
2025-07-31,"['ADRO.JK', 'AKRA.JK', 'ESSA.JK']",2
2025-08-31,"['GOTO.JK', 'ESSA.JK', 'AKRA.JK']",2
2025-09-30,"['ESSA.JK', 'AKRA.JK', 'GOTO.JK']",0
2025-10-31,"['ESSA.JK', 'GOTO.JK', 'AKRA.JK']",0
2025-11-30,"['ADRO.JK', 'GOTO.JK', 'AKRA.JK']",2
2025-12-31,"['ADRO.JK', 'GOTO.JK', 'AKRA.JK']",0
2026-01-31,"['ADRO.JK', 'AKRA.JK', 'KLBF.JK']",2
2026-02-28,"['ADRO.JK', 'AKRA.JK', 'KLBF.JK']",0
2026-03-31,"['ANTM.JK', 'ADRO.JK', 'AKRA.JK']",2
2026-04-30,"['BRPT.JK', 'ADRO.JK', 'AKRA.JK']",2
2026-05-31,"['BRPT.JK', 'ADRO.JK', 'ITMG.JK']",2
