exit_state,rank_bucket,count,30D_avg,30D_med,30D_wr,30D_n,60D_avg,60D_med,60D_wr,60D_n,90D_avg,90D_med,90D_wr,90D_n
EXIT,Top 10,4241,0.017012983394868685,0.008364803063549808,0.5299586776859504,1936,0.0347348931754135,0.020230091737294287,0.5559741657696448,1858,0.04324431263608466,0.025996893874307148,0.5640176600441501,1812
EXIT,Rank 11-20,6836,0.0033902944270926285,-0.00523688653117349,0.46687054026503566,1962,0.012090317799882167,0.0,0.49507005708354956,1927,0.020291143823789007,0.011111111111111072,0.5276752767527675,1897
EXIT,Rank >20,6815,0.008519011851971904,-0.003984084234859631,0.4689092762487258,1962,0.02108700501958984,0.0,0.49737118822292326,1902,0.030548544876636385,0.006333897610028005,0.5102591792656588,1852
EXIT RISK,Top 10,1158,-0.0023353166440882086,-0.005979461208283021,0.45454545454545453,1144,0.0010851626225240676,-0.008172622941327035,0.4762323943661972,1136,0.013545622147201765,0.0,0.49727272727272726,1100
EXIT RISK,Rank 11-20,722,-0.008163439649184139,-0.007662923711438063,0.44886363636363635,704,-0.01117082367467846,-0.016129089546679964,0.43892045454545453,704,-0.005597041861972105,-0.008264388634861453,0.4833574529667149,691
EXIT RISK,Rank >20,777,-0.004768748845696481,-0.009523811804669768,0.4186046511627907,774,-0.00127459439588914,-0.01893555833230226,0.4214659685863874,764,0.004361966727186389,-0.007873960603889674,0.4784366576819407,742
EXIT WATCH,Rank 11-20,2063,0.012132786649894582,0.0,0.4845099035043169,1969,0.01769120119748869,-0.002673908529129132,0.4863731656184486,1908,0.007894551376837053,-0.010780790636327808,0.4592061742006615,1814
EXIT WATCH,Rank >20,2703,0.020646578904449115,0.003344610196124309,0.5077850326469111,1991,0.04241518337330025,0.0047146830405619955,0.5055555555555555,1980,0.05513005217628086,0.008394248544176142,0.5240506329113924,1975
HEALTHY,Top 10,3891,0.012366225228130375,0.01117315505943317,0.5508771929824562,1995,0.016727992871450617,0.014780643580898145,0.5523520485584219,1977,0.027410750671567254,0.019219766649873016,0.5543589743589744,1950
WEAKENING,Top 10,820,0.016167753526867105,0.01902168140593119,0.5995115995115995,819,0.021504629302214164,0.018115309370333454,0.5532435740514076,817,0.03158481546569112,0.002577927206965258,0.5049019607843137,816
WEAKENING,Rank 11-20,434,-0.013935699281207846,-0.012499999999999956,0.41299303944315546,431,-0.0302975150064023,-0.0327286342360798,0.3147208121827411,394,-0.0326254080856338,-0.03954061101769496,0.3248730964467005,394
WEAKENING,Rank >20,569,0.023577037473622,-0.003232881784500874,0.4753521126760563,568,0.02923230256847731,-0.004860302900812297,0.4788732394366197,568,0.044652152669306305,-0.011874528347064872,0.46830985915492956,568
