rank,feature,composite_score,cohens_d,spearman_ic,lift,mw_pval
1,ma50,0.7491931402984071,-0.476549,-0.308013,0.595813,1e-06
2,ma20,0.746042150641606,-0.471145,-0.308305,0.59778,1e-06
3,ma100,0.7353896419207664,-0.478858,-0.301567,0.591488,2e-06
4,ma200,0.7191997015708338,-0.479367,-0.297577,0.594328,5e-06
5,volatility_60d,0.6626540343300095,0.401476,0.288724,1.195453,5e-06
6,volatility_20d,0.6134770611285872,0.369721,0.273114,1.260598,1.6e-05
7,rs_20d,0.5258448942424195,-0.316062,-0.228272,11.135831,0.000407
8,distance_from_high_252d,0.49359173692320857,-0.395679,-0.192406,1.299981,0.002129
9,drawdown_252d,0.49359173692320857,-0.395679,-0.192406,1.299981,0.002129
10,rs_change_20d,0.45016390260063943,-0.290874,-0.185044,14.296042,0.00432
11,above_ma50,0.41945234068274606,-0.338337,-0.167436,0.607843,0.007525
12,rs_60d,0.3969819721326662,-0.067715,-0.094054,-83.664611,0.141216
13,above_ma20,0.366656905776661,-0.298808,-0.148332,0.613636,0.017905
14,above_ma100,0.17162486279318057,-0.146015,-0.073098,0.823529,0.243504
15,above_ma200,0.17006585414298606,-0.144753,-0.07247,0.830189,0.24758
16,rs_252d,0.1437249854456846,0.207192,-0.007838,3.154873,0.911572
17,volume_ratio,0.10841940506288059,0.07559,-0.057185,1.069924,0.366362
18,rs_120d,0.09017592116968683,-0.003594,-0.081097,0.958799,0.218102
19,recovery_from_60d_low,0.0849578552752999,0.052039,-0.04934,1.069703,0.431252
20,rs_change_60d,0.0457941110745355,-0.024601,-0.029349,1.169953,0.656251
21,momentum_slope,0.01731558147426795,-0.02417,0.001915,1.099962,0.976695
22,golden_cross,0.0,0.0,0.0,1.0,1.0
23,death_cross,0.0,0.0,0.0,1.0,1.0
